,Iteration,Epsilon,Choice,Song,Reward,Q-Values,MSE
0,0,0.999,random,guitar,-10,[],16.78269386291504
1,1,0.998001,random,commercial,-10,[],15.235495567321777
2,2,0.997002999,random,fun,-10,[],13.620394706726074
3,3,0.996005996001,random,guitar,-10,[],14.024261474609375
4,4,0.995009990004999,random,upbeat,-10,[],16.811491012573242
5,5,0.994014980014994,random,fun,-10,[],9.826567649841309
6,6,0.993020965034979,random,commercial,-10,[],10.771714210510254
7,7,0.9920279440699441,random,upbeat,-10,[],13.352187156677246
8,8,0.9910359161258742,random,guitar,-10,[],14.177055358886719
9,9,0.9900448802097482,random,fun,-10,[],9.931924819946289
10,10,0.9890548353295385,random,happy,10,[],19.42265510559082
11,11,0.988065780494209,random,piano,-10,[],18.030611038208008
12,12,0.9870777147137147,random,fun,-10,[],9.642118453979492
13,13,0.986090636999001,random,piano,-10,[],13.522249221801758
14,14,0.9851045463620021,random,happy,10,[],11.532112121582031
15,15,0.98411944181564,random,commercial,-10,[],18.108596801757812
16,16,0.9831353223738244,random,guitar,-10,[],18.4674072265625
17,17,0.9821521870514506,random,commercial,-10,[],16.206571578979492
18,18,0.9811700348643991,random,commercial,-10,[],14.285904884338379
19,19,0.9801888648295347,random,piano,-10,[],11.948578834533691
20,20,0.9792086759647052,random,piano,-10,[],12.086642265319824
21,21,0.9782294672887405,random,upbeat,-10,[],15.651472091674805
22,22,0.9772512378214517,random,commercial,-10,[],10.372797966003418
23,23,0.9762739865836303,random,commercial,-10,[],9.719586372375488
24,24,0.9752977125970467,random,commercial,-10,[],8.737549781799316
25,25,0.9743224148844496,random,piano,-10,[],11.974359512329102
26,26,0.9733480924695651,random,fun,-10,[],16.90901756286621
27,27,0.9723747443770956,random,commercial,-10,[],6.037483215332031
28,28,0.9714023696327185,random,guitar,-10,[],16.160593032836914
29,29,0.9704309672630859,random,fun,-10,[],16.147823333740234
30,30,0.9694605362958227,random,positive,-10,[],19.920122146606445
31,31,0.9684910757595269,random,positive,-10,[],16.88165283203125
32,32,0.9675225846837673,random,fun,-10,[],10.885011672973633
33,33,0.9665550620990835,random,guitar,-10,[],13.168091773986816
34,34,0.9655885070369844,random,positive,-10,[],9.338338851928711
35,35,0.9646229185299474,random,fun,-10,[],9.453112602233887
36,36,0.9636582956114175,network,piano,-10,"[[-0.39376152 -4.7081523  -2.516196    1.6170512   1.0701401  -0.92606616
  -4.1835513 ]]",26.159109115600586
37,37,0.9626946373158061,random,upbeat,-10,[],19.928298950195312
38,38,0.9617319426784903,random,commercial,-10,[],25.665287017822266
39,39,0.9607702107358118,random,upbeat,-10,[],15.483177185058594
40,40,0.959809440525076,random,piano,-10,[],16.023252487182617
41,41,0.9588496310845509,random,upbeat,-10,[],11.655248641967773
42,42,0.9578907814534664,random,guitar,-10,[],12.314793586730957
43,43,0.9569328906720129,random,piano,-10,[],11.54417896270752
44,44,0.9559759577813409,random,guitar,-10,[],12.198443412780762
45,45,0.9550199818235596,random,fun,-10,[],15.624593734741211
46,46,0.9540649618417361,random,happy,10,[],15.643633842468262
47,47,0.9531108968798944,random,fun,-10,[],15.657339096069336
48,48,0.9521577859830145,random,upbeat,-10,[],15.639479637145996
49,49,0.9512056281970315,random,positive,-10,[],20.327743530273438
50,50,0.9502544225688344,random,upbeat,-10,[],15.812901496887207
51,51,0.9493041681462656,random,piano,-10,[],9.265768051147461
52,52,0.9483548639781193,random,happy,10,[],13.98579216003418
53,53,0.9474065091141411,random,fun,-10,[],12.688214302062988
54,54,0.946459102605027,random,guitar,-10,[],12.830182075500488
55,55,0.9455126435024219,random,piano,-10,[],10.198755264282227
56,56,0.9445671308589195,random,commercial,-10,[],13.65231990814209
57,57,0.9436225637280606,random,upbeat,-10,[],12.869545936584473
58,58,0.9426789411643326,random,upbeat,-10,[],11.795079231262207
59,59,0.9417362622231683,random,happy,10,[],13.781888008117676
60,60,0.9407945259609451,random,fun,-10,[],13.106476783752441
61,61,0.9398537314349842,random,happy,10,[],13.13232135772705
62,62,0.9389138777035492,random,positive,-10,[],17.482868194580078
63,63,0.9379749638258457,network,happy,10,"[[ 2.0289638  -0.10133618 -1.0226265  -1.4217074  -0.30253053 -3.2209768
  -1.2547345 ]]",11.236468315124512
64,64,0.9370369888620198,network,happy,10,"[[ 2.730335   -0.40781683 -0.90137523 -1.4087243  -0.24294114 -3.2022233
  -1.3766251 ]]",9.717095375061035
65,65,0.9360999518731578,random,piano,-10,[],14.478196144104004
66,66,0.9351638519212846,random,upbeat,-10,[],10.85506534576416
67,67,0.9342286880693633,random,piano,-10,[],14.718270301818848
68,68,0.933294459381294,random,piano,-10,[],13.66972827911377
69,69,0.9323611649219127,random,positive,-10,[],17.062986373901367
70,70,0.9314288037569908,random,commercial,-10,[],16.833789825439453
71,71,0.9304973749532338,random,fun,-10,[],15.672525405883789
72,72,0.9295668775782806,random,upbeat,-10,[],13.601847648620605
73,73,0.9286373107007023,random,guitar,-10,[],15.628952980041504
74,74,0.9277086733900016,random,guitar,-10,[],14.1703462600708
75,75,0.9267809647166116,random,piano,-10,[],12.683405876159668
76,76,0.925854183751895,random,upbeat,-10,[],15.647672653198242
77,77,0.9249283295681431,random,happy,10,[],21.823274612426758
78,78,0.9240034012385749,random,commercial,-10,[],10.231086730957031
79,79,0.9230793978373364,random,fun,-10,[],15.261395454406738
80,80,0.9221563184394991,random,commercial,-10,[],10.360434532165527
81,81,0.9212341621210596,random,guitar,-10,[],10.901192665100098
82,82,0.9203129279589385,random,commercial,-10,[],9.771113395690918
83,83,0.9193926150309796,random,fun,-10,[],13.341700553894043
84,84,0.9184732224159486,random,fun,-10,[],12.508771896362305
85,85,0.9175547491935327,random,positive,-10,[],16.742116928100586
86,86,0.9166371944443392,random,happy,10,[],16.700836181640625
87,87,0.9157205572498949,network,happy,10,"[[ 0.6367996 -1.4856844 -1.9199313 -0.7805561 -2.919636  -1.0160744
  -2.8656836]]",15.991572380065918
88,88,0.914804836692645,random,fun,-10,[],9.354399681091309
89,89,0.9138900318559524,random,commercial,-10,[],11.187110900878906
90,90,0.9129761418240965,network,happy,10,"[[ 1.7432189  -2.290159   -1.378195   -0.608433   -2.3273418  -0.52412593
  -3.3516176 ]]",13.230490684509277
91,91,0.9120631656822724,random,commercial,-10,[],12.001593589782715
92,92,0.9111511025165902,random,piano,-10,[],17.03907585144043
93,93,0.9102399514140735,random,upbeat,-10,[],16.896333694458008
94,94,0.9093297114626595,random,guitar,-10,[],15.463616371154785
95,95,0.9084203817511969,random,guitar,-10,[],14.872345924377441
96,96,0.9075119613694457,random,positive,-10,[],12.78919506072998
97,97,0.9066044494080763,random,commercial,-10,[],12.717824935913086
98,98,0.9056978449586682,random,commercial,-10,[],12.905275344848633
99,99,0.9047921471137096,random,guitar,-10,[],13.105889320373535
100,100,0.9038873549665959,random,happy,10,[],14.829134941101074
101,101,0.9029834676116293,random,piano,-10,[],11.987492561340332
102,102,0.9020804841440176,random,positive,-10,[],13.060876846313477
103,103,0.9011784036598737,random,positive,-10,[],12.725034713745117
104,104,0.9002772252562138,random,happy,10,[],14.09418773651123
105,105,0.8993769480309576,random,guitar,-10,[],11.780220031738281
106,106,0.8984775710829266,random,fun,-10,[],16.226919174194336
107,107,0.8975790935118436,random,guitar,-10,[],11.27278995513916
