URL;Tags
https://www.bensound.com/royalty-free-music/track/creative-minds;['corporate', 'motivation', 'background', 'presentation', 'motivational', 'uplifting', 'success', 'advertising', 'guitar', 'piano', 'palm mute', 'business', 'commercial', 'inspirational', 'serious', 'optimistic', 'positive', 'innovate', 'creative', 'innovation', 'modern', 'science', 'technology']
https://www.bensound.com/royalty-free-music/track/a-new-beginning;['rock', 'uplifting', 'success', 'positive', 'hope', 'hopeful', 'optimistic', 'motivation', 'invincible', 'corporate', 'electric', 'guitar', 'epic', 'energy', 'energetic', 'emotional', 'confidence', 'business', 'piano']
https://www.bensound.com/royalty-free-music/track/little-idea;['kid', 'kids', 'corporate', 'bouncy', 'happy', 'upbeat', 'piano', 'delight', 'light', 'funny', 'fun', 'positive', 'game', 'video', 'product', 'presentation', 'commercial', 'ad', 'motivation', 'joy', 'cute', 'bright', 'bouncy']
https://www.bensound.com/royalty-free-music/track/jazzy-frenchy;['jazz', 'jazzy', 'acoustic', 'old', 'light', 'retro', 'swing', 'upbeat', 'vibes', 'vibraphone', 'accordion', 'django', 'paris', 'france', 'french', 'gypsy', 'contrabass', 'guitar', 'brushes', 'comedy', 'happy', 'fun', 'claps', 'clapping']
https://www.bensound.com/royalty-free-music/track/happy-rock;['rock', 'happy', 'catchy', 'energetic', 'corporate', 'cool', 'upbeat', 'winner', 'winning', 'positive', 'extreme', 'sport', 'fun', 'motivation', 'action', 'speed', 'fast', 'joy', 'electric', 'guitar', 'distorded', 'uplifting', 'claps', 'clapping', 'hand', 'advertising', 'commercial']
https://www.bensound.com/royalty-free-music/track/hey-happy-cheerful;['happy', 'positive', 'kid', 'kids', 'children', 'upbeat', 'joy', 'fun', 'fast', 'acoustic', 'guitar', 'folk', 'bright', 'uplifting', 'joy', 'joyful', 'cheerful', 'playful', 'optimistic', 'catchy', 'advertising', 'hey', 'claps', 'pop', 'positive', 'smile']
https://www.bensound.com/royalty-free-music/track/cute;['ukulele', 'acoustic', 'soft', 'positive', 'kids', 'children', 'child', 'baby', 'babies', 'cute', 'joy', 'sweet', 'nice', 'mellow']
https://www.bensound.com/royalty-free-music/track/memories;['gentle', 'cinematic', 'soft', 'bright', 'positive', 'nature', 'film', 'movie', 'documentary', 'emotional', 'travel', 'light', 'dreamy', 'slideshow', 'youtube', 'photography', 'video', 'romantic', 'poetic']
https://www.bensound.com/royalty-free-music/track/going-higher;['success', 'victory', 'uplifting', 'achievenment', 'epic', 'triumph', 'sport', 'marimba', 'guitar', 'extreme', 'climax', 'delay', 'electric', 'rock', 'invincible']
https://www.bensound.com/royalty-free-music/track/acoustic-breeze;['nature', 'simple', 'light', 'happy', 'dreamy', 'dream', 'optimistic', 'inspirational', 'hopeful', 'positive', 'cheerful', 'bright', 'sun', 'summer', 'warm', 'sweet', 'soft', 'romantic', 'slideshow', 'photo', 'album', 'wedding', 'sentimental', 'peaceful', 'gentle', 'cello', 'guitar', 'folk', 'acoustic']
https://www.bensound.com/royalty-free-music/track/buddy;"['cute', 'light', 'happy', 'fun', 'kids', ""children's"", 'joy', 'advertising', 'corporate', 'motivation', 'fresh', 'positive', 'claps', 'clapping', 'glockenspiel', 'bells', 'acoustic', 'pian', 'ukulele', 'presentation', 'commercial', 'ad', 'funny', 'cartoon', 'catchy', 'bouncy', 'animation']"
https://www.bensound.com/royalty-free-music/track/dubstep;['dubstep', 'electronica', 'cars', 'sport', 'energy', 'energetic', 'wobble', 'powerful', 'hi', 'tech', 'extreme', 'agressive', 'action', 'modern', 'speed', 'trailer', 'game', 'video']
https://www.bensound.com/royalty-free-music/track/better-days;['calm', 'ambient', 'electric guitar', 'landscape', 'ocean', 'dramatic', 'nature', 'spiritual', 'travel', 'meditation', 'sad', 'slow', 'soundtrack', 'pad', 'melancholic']
https://www.bensound.com/royalty-free-music/track/sunny;['gentle', 'acoustic', 'kids', 'children', 'family', 'happy', 'positive', 'upbeat', 'folk', 'summer', 'funny', 'soft', 'bright', 'joyful', 'cheerful', 'pleasant', 'smiling']
https://www.bensound.com/royalty-free-music/track/energy;['energetic', 'upbeat', 'corporate', 'motivation', 'success', 'confidence', 'presentation', 'business', 'rock', 'electric', 'guitar', 'motivational', 'youtube', 'video', 'commercial', 'advertising', 'professional', 'serious']
https://www.bensound.com/royalty-free-music/track/epic;['epic', 'power', 'war', 'triumphant', 'trailer', 'intense', 'impact', 'dark', 'hollywood', 'heroic', 'fight', 'battle', 'action', 'adventure', 'soundtrack', 'score', 'cinema']
https://www.bensound.com/royalty-free-music/track/tenderness;['calm', 'tender', 'sweet', 'kind', 'family', 'tenderness', 'peaceful', 'kindness', 'love', 'romantic', 'couple', 'wedding', 'slideshow', 'peace', 'hope', 'guitar', 'folk', 'acoustic', 'realxing', 'piano', 'travel', 'baby', 'care']
https://www.bensound.com/royalty-free-music/track/freedom-whistling-folk;[]
https://www.bensound.com/royalty-free-music/track/funny-song;['child', 'banjo', 'fun', 'beat', 'hip', 'hop', 'pou', 'game', 'bass', 'xylophone', 'playful', 'joke', 'country', 'amusing', 'cartoon', 'kids', 'children', 'bass', 'bells', 'funny', 'animation', 'childish', 'humorous', 'happy', 'lively', 'cheery', 'cool', 'beats', 'scratching']
https://www.bensound.com/royalty-free-music/track/once-again;['piano', 'poetic', 'guitar', 'emotional', 'sad', 'marimba', 'hopeful', 'beautiful', 'romantic', 'soft', 'inspirational', 'sad', 'warm', 'intense', 'travel', 'slideshow', 'commercial', 'video', 'youtube', 'album', 'photo', 'wedding', 'couple']
